system:index,cap_year,capacitymw,comm_year,country,country_lg,fuel1,fuel2,fuel3,fuel4,gppd_idnr,gwh_2013,gwh_2014,gwh_2015,gwh_2016,gwh_estimt,latitude,longitude,name,owner,source,src_latlon,url,.geo
00000000000000005fcb,0.0,34.4,0.0,IND,India,Wind,,,,WRI1026795,0.0,0.0,0.0,0.0,350.4467872174164,15.3654,75.5639,HZL Gadag Wind Farm,Hindustan Zinc Ltd.,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1208874936.63/view,"{""type"":""Point"",""coordinates"":[75.56388929064649,15.365389984371964]}"
00000000000000005fcc,0.0,50.4,0.0,IND,India,Wind,,,,WRI1026787,0.0,0.0,0.0,0.0,513.4452928999356,15.3302,75.5767,Tata Power Gadag Plains Wind Farm,Tata Power,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1352368180.64/view,"{""type"":""Point"",""coordinates"":[75.57668102796553,15.330201485922327]}"
00000000000000005fcd,0.0,25.6,0.0,IND,India,Wind,,,,WRI1026072,0.0,0.0,0.0,0.0,260.7976090920308,15.3418,75.5868,Gadag Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/BVQI1239021527.94/view,"{""type"":""Point"",""coordinates"":[75.58677976795427,15.341781374442743]}"
00000000000000005fce,0.0,25.5,0.0,IND,India,Wind,,,,WRI1026776,0.0,0.0,0.0,0.0,259.77886843151504,15.2758,75.5811,Yelisirur wind power project,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1351077305.18/view,"{""type"":""Point"",""coordinates"":[75.58107959027176,15.275802939849672]}"
00000000000000005fd1,0.0,23.1,0.0,IND,India,Wind,,,,WRI1026658,0.0,0.0,0.0,0.0,235.32909257913715,14.6534,75.8613,GIWPP Telagi,Bangalore Electricity Supply Company Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1323884772.8/view,"{""type"":""Point"",""coordinates"":[75.86128596249253,14.653406373521692]}"
00000000000000005fd3,0.0,78.9,0.0,IND,India,Wind,,,,WRI1026070,0.0,0.0,0.0,0.0,803.7863811469231,15.1579,75.7965,MSPL Wind Farm,MSPL,CDM,WRI,https://cdm.unfccc.int/filestorage/I/M/8/IM82KOV79XD6W1FSRY0APUBQT5HNG3/PDD%20Version%203.1?t=eXJ8b2pkY3A3fDDe6Zq2yZtRMfXDrbXuYkLx,"{""type"":""Point"",""coordinates"":[75.7965193766981,15.157894540070082]}"
00000000000000005fda,0.0,16.5,0.0,IND,India,Wind,,,,WRI1026069,0.0,0.0,0.0,0.0,168.09220898509795,14.5751,76.3926,Anabura Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1216117082.43/view,"{""type"":""Point"",""coordinates"":[76.39261433576652,14.575085034497949]}"
00000000000000005fdb,0.0,13.2,0.0,IND,India,Wind,,,,WRI1026068,0.0,0.0,0.0,0.0,134.47376718807837,14.4791,76.3482,Arasinagundi Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1216117082.43/view,"{""type"":""Point"",""coordinates"":[76.34817987981609,14.4790796796717]}"
00000000000000005fdd,0.0,10.5,0.0,IND,India,Wind,,,,WRI1026349,0.0,0.0,0.0,0.0,106.96776935415326,14.098,76.3154,NMDC Anehalu Wind Farm,NMDC,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1323884913.69/view,"{""type"":""Point"",""coordinates"":[76.31541507896375,14.098020557430079]}"
00000000000000005fee,0.0,50.4,0.0,IND,India,Wind,,,,WRI1026074,0.0,0.0,0.0,0.0,513.4452928999356,15.9349,74.7007,Belgaum Wind farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/K/H/4/KH4609PBJU1SRCMD8W7FNQ2LTZGIO5/ENRE%20PDD%20version%205_0_21_12_2010%20Clean%20Mode.pdf?t=dWt8b2picnVxfDDdBloH5bI-0qA-0I--EtaE,"{""type"":""Point"",""coordinates"":[74.7006938796982,15.93491403644781]}"
